chr	start	end	ID	gene	mean	BMS_53_50ng.ready.bam	BMS.58_50ng.ready.bam	UA1.381_50ng.ready.bam	HD827.ready.bam	HD832.ready.bam	ALL558A73_50M.ready.bam	ALL558A74_50M.ready.bam	ALL558A75_50M.ready.bam	ALL558A76_50M.ready.bam	len	gc	IC1	IC2	IC3	sd
chr1	934438	934812	1	HES4_Exon3_NM_001142467.2	0.0781666116595833	0.917898772925989	0.705290211646412	1.69427981658851	0.71887247823453	1.41471378792512	0.847316751132201	1.24828789375768	1.41701146766699	1.25129595699816	374	0.794117647058823	0.324728007501496	-0.862631978528995	0.217080235812775	0.969683473641482
chr1	934905	934993	2	HES4_Exon2_NM_001142467.2	-0.052901832975347	1.89267519874111	1.43819896002259	3.13985961303498	1.32213000625704	2.56552424831858	1.78504565051813	2.0366541021785	2.11918569699363	1.90810943769593	88	0.659090909090909	-0.219770391098374	0.200263777726626	0.121439165047813	0.944615923850788
chr1	935071	935353	3	HES4_Exon1_NM_001142467.2	-0.116944974779254	0.958583294648102	0.719338998738439	1.56146895419993	0.715888187154859	1.37321781521978	0.963071368209353	1.37146508598521	1.44000658511654	1.30958798408305	282	0.723404255319149	-0.485825185985582	-1.20488113601395	0.0335647949546012	0.960254333448234
chr1	2460907	2461188	4	HES5_Exon3_NM_001010926.4	-0.711229881616118	0.636841586405196	0.613427064954093	1.12629978168825	0.418875049585886	0.775567536487899	0.373442255571905	0.609713451174674	0.615694838867807	0.373181655672539	281	0.768683274021352	-2.95466641612335	0.795894634456436	-1.68755118093697	1.59788829259263
chr1	2461284	2461450	5	HES5_Exon2_NM_001010926.4	-0.330173843202517	0.958731184892832	0.948001748969747	1.50060651888452	0.76394654896973	1.29797455856559	0.755517050111138	1.15428657069538	1.18104481090119	0.891130302605448	166	0.620481927710843	-1.37164310894266	0.658234805617401	-0.145739787732625	1.12834686147055
chr1	2461549	2461603	6	HES5_Exon1_NM_001010926.4	-0.178947392389296	2.09673840197075	2.10278099186536	3.61693717632197	1.52754477234625	2.90924614786273	1.95009540881914	2.45942573105735	2.76451554815264	2.09691079376329	54	0.611111111111111	-0.743402188535831	0.662487524835394	0.490045763874544	0.996040716079469
chr1	2488104	2488106	7	TNFRSF14_Exon1_NM_001297605.1	0.256108462373242	78.5684328030335	60.1638327835337	83.4259688435176	48.371461205603	83.1880375508891	64.8998564615391	68.0301585174124	74.6729753107517	68.4052087870595	2	0.5	1.06395286843086	1.06709683657055	1.73697684125171	1.15820171759155
chr1	2491288	2491290	8	TNFRSF14_Exon4_NM_001297605.1	NA	92.3742588539763	69.6958135197201	151.41721783201	53.0934371804357	100.925806274965	76.1661281902191	97.6482043170961	104.035960611777	103.849131167024	2	1	NA	NA	NA	0.930017141332208
chr1	4131248	4131249	9	LINC01345_CNV176_NM_XXX	NA	107.588842665219	101.589893549545	89.5736962434005	100.479553805925	85.9151320853396	18.2712869395736	16.7520781783888	17.1115863573401	16.9256439911373	1	0	NA	NA	NA	0.930017141332208
chr1	5141292	5141293	10	KCNAB2_CNV177_NM_XXX	NA	97.0432845738287	89.8470731749278	82.4057077005583	89.2440662560517	53.1433806713441	15.0523521599507	19.4150702732898	17.6395300380565	18.4558221379375	1	1	NA	NA	NA	0.930017141332208
chr1	5670465	5670466	11	KCNAB2_CNV178_NM_XXX	NA	56.551561520626	54.0024764141357	57.1869450899747	47.1173862854578	27.3175623450944	8.73710868754777	11.2403038424309	11.3352613800892	9.71194701336476	1	0	NA	NA	NA	0.930017141332208
chr1	6246731	6246876	12	RPL22_Exon4_NM_000983.4	0.0927330287293258	0.923256810001729	0.943324906211285	0.717340106879955	1.02073402719213	0.74040656797402	0.876565096638187	0.878552484235979	0.931451142976055	0.830452770452035	145	0.379310344827586	0.385241358292407	-0.511815129810359	0.335203611457516	0.982273410209642
chr1	6252989	6253114	13	RPL22_Exon3_NM_000983.4	-0.0396776483514804	1.03974372754506	0.82634661895456	0.978194991218817	1.23728567223475	1.27618700812168	1.19266132063284	1.32208268004526	1.32768519047006	1.28484999330508	125	0.504	-0.164833084330598	-0.958924065402322	1.07476804541036	0.940784622591164
chr1	6257711	6257816	14	RPL22_Exon2_NM_000983.4	0.163878779215945	1.40990776663523	1.38621888960798	1.14508430110889	1.33719242214129	1.20627038666702	1.27268360130395	1.29256858825593	1.30166954556484	1.26607742875191	105	0.428571428571429	0.680802561563342	0.00105681183072916	0.455885316188626	1.05155409370395
